consumption,price,income
5.0905261,-1.6024187,2.3429723
5.0923243,-1.5729126,2.3170676
5.0939498,-1.5475041,2.3400757
5.0674877,-1.5051202,2.323478
5.0497622,-1.4567251,2.3351963
5.0495663,-1.4386415,2.3649671
5.090734,-1.4373149,2.3806262
5.0924501,-1.4344685,2.3789606
5.0880032,-1.4285374,2.3536892
5.1134048,-1.4183393,2.353004
5.1164641,-1.4170392,2.3545303
5.1173649,-1.4199016,2.3565207
5.1081805,-1.4243407,2.4243219
5.1494708,-1.4272897,2.4148705
5.1548834,-1.4182742,2.4260168
5.1439166,-1.4079866,2.4314344
5.2159104,-1.3992701,2.4270437
5.2334762,-1.3992062,2.4390707
5.2735491,-1.4062499,2.4409356
5.280098,-1.3916416,2.4381897
5.2847915,-1.3828781,2.4337482
5.2994194,-1.3798066,2.4418461
5.3255448,-1.3754356,2.456815
5.342412,-1.3782432,2.4715536
5.3398809,-1.3656389,2.4814465
5.3308029,-1.3531911,2.4916413
5.3229885,-1.3235319,2.4829648
5.2972422,-1.309142,2.4719491
5.3051996,-1.3093752,2.4732373
5.3034759,-1.3108345,2.469116
5.329155,-1.3202246,2.4753232
5.3573847,-1.3243011,2.4898846
5.3659897,-1.3175156,2.5003071
5.3850455,-1.3096089,2.5197976
5.3808217,-1.2991048,2.5339439
5.4043002,-1.2963952,2.5403543
5.4182024,-1.2936929,2.5461652
5.4262676,-1.2883669,2.5519462
5.3951311,-1.2640492,2.551502
5.4232545,-1.2578808,2.5622969
5.4262633,-1.2369397,2.559907
5.4026976,-1.2273291,2.5623469
5.4346881,-1.234826,2.5627551
5.4295897,-1.234826,2.5525324
5.4363132,-1.2251288,2.5394979
5.4922676,-1.2495505,2.5421517
5.4916668,-1.2383509,2.5580027
5.5269098,-1.2604879,2.5655792
5.5397739,-1.2531278,2.5684001
5.5312343,-1.2375906,2.5835392
5.5190492,-1.2292656,2.5784099
5.4978657,-1.1977878,2.5819213
5.5126157,-1.2140917,2.5854273
5.5579171,-1.2139858,2.5867598
5.5134411,-1.1883898,2.583127
5.5078683,-1.186995,2.5776958
5.5141802,-1.1962239,2.58302
5.5690947,-1.2327168,2.5942531
5.5286722,-1.2037001,2.6036234
5.537118,-1.210281,2.6189327
5.5689845,-1.2142509,2.6249781
5.5642509,-1.204645,2.632412
5.5768557,-1.2116556,2.634088
5.5651121,-1.1871502,2.6382289
5.5835981,-1.197892,2.6429849
5.6146021,-1.2181296,2.6491263
5.5916824,-1.2044876,2.6564839
5.6046834,-1.2068535,2.6692119
5.6347308,-1.2093836,2.6862047
5.6608419,-1.2175446,2.7099445
5.6775827,-1.218769,2.7193651
5.6621628,-1.2078015,2.7273219
5.6518307,-1.1888548,2.7355402
5.6669102,-1.1768799,2.7437479
5.6727424,-1.1729028,2.7675257
5.6871858,-1.1663599,2.7842298
5.7061229,-1.1662591,2.7910044
5.7317204,-1.1648449,2.7908516
5.7273622,-1.1492184,2.8003075
5.7189527,-1.1338818,2.8086433
5.7212033,-1.1299746,2.8211846
5.7237053,-1.1210448,2.8266666
5.7362924,-1.1171393,2.8333943
5.7571054,-1.1156965,2.8377926
5.7829566,-1.1081322,2.8529625
5.8111157,-1.1128651,2.8672106
5.8311868,-1.1041341,2.8663454
5.838058,-1.1002935,2.870029
5.8534031,-1.0867567,2.8694148
5.8664412,-1.0651892,2.8770039
5.8890924,-1.0696766,2.8940947
5.9240479,-1.0742768,2.8983583
5.9599633,-1.0789444,2.9007802
5.9481268,-1.0587674,2.9151073
5.9844618,-1.0702734,2.9250083
5.9842529,-1.0523871,2.9179225
6.0073128,-1.0546452,2.9357464
6.0554705,-1.0767697,2.9470696
6.048172,-1.0575881,2.9480519
6.0423598,-1.0424229,2.9553399
6.0782628,-1.0549161,2.9591036
6.0947075,-1.0653261,2.9656374
6.0903568,-1.0430931,2.983592
6.0917664,-1.016893,3.0199366
6.1247206,-1.0059389,3.028899
6.0971117,-0.97436243,3.0359104
6.1086383,-0.9612233,3.0389588
6.0393071,-0.87718785,3.0485146
5.8048806,-0.71806306,3.0308802
5.777688,-0.62728369,3.0204759
5.8254571,-0.62378079,3.0214
5.9080706,-0.64486414,3.0145407
5.8987093,-0.63709188,3.0089047
5.8916388,-0.61906117,3.0519066
5.830133,-0.55725521,3.0353007
5.8385568,-0.5410834,3.0426128
5.8794074,-0.55245543,3.0549922
5.9122949,-0.56354326,3.0606823
5.9141445,-0.54645425,3.0669901
5.9178805,-0.52280217,3.0715661
5.9109192,-0.50206149,3.0711665
5.9244976,-0.48862341,3.0795345
5.951777,-0.49493241,3.0917449
5.9430919,-0.47422442,3.1087286
5.9482746,-0.46910128,3.1122482
5.9894214,-0.47283384,3.1213317
5.9892993,-0.44881764,3.1268125
5.9546757,-0.40042576,3.1320813
5.9393034,-0.35413316,3.1409907
5.7847548,-0.22176933,3.131408
5.6598244,-0.07775683,3.1341774
5.5994835,-0.001050487,3.1400504
5.4619751,0.14082843,3.1444738
5.4230642,0.18372202,3.1235788
5.432199,0.17813705,3.1307993
5.4440689,0.1892889,3.1491728
5.4024396,0.28194669,3.1432784
5.4121418,0.2858234,3.1433945
5.4411201,0.27032152,3.1629219
5.4408073,0.28161401,3.1627314
5.4898658,0.25692913,3.1607277
5.5714898,0.19380067,3.1656227
5.5232725,0.23840432,3.1673689
5.5473843,0.22196688,3.1665928
5.6416507,0.16512537,3.1729455
5.5899863,0.2001504,3.1787302
5.6091886,0.21622431,3.1904278
5.6443787,0.19702581,3.2104743
5.6478276,0.19549872,3.2313871
5.6795497,0.19311289,3.2477779
5.7256975,0.16065624,3.2615111
5.7292886,0.1691757,3.2687516
5.7317467,0.17176512,3.2660432
5.7187576,0.19808559,3.284117
5.7318225,0.19083859,3.2744601
5.7402463,0.19017479,3.2821646
5.8290586,0.12853807,3.2921033
6.0424943,-0.070413917,3.3003924
6.1218324,-0.13686348,3.3020461
6.1718163,-0.1635249,3.2996128
6.0620942,-0.054822665,3.3061919
6.073688,-0.032662921,3.2932508
6.020308,0.009986201,3.3083248
6.0392933,0.011481873,3.3194313
6.0711927,-0.010617574,3.3300319
6.1015053,-0.014109139,3.3367651
6.0890117,0.003212413,3.3424253
6.121315,-0.009297364,3.3488882
6.118783,0.015195441,3.3598285
5.9879122,0.14712819,3.3542683
6.0430713,0.094795629,3.3564653
6.1021271,0.060882643,3.3604164
6.0389462,0.13032289,3.3672404
6.0340815,0.12334547,3.3699179
5.9600554,0.21178724,3.3673015
5.8092365,0.35842499,3.3568199
5.9241915,0.23731177,3.3544736
5.9912219,0.18635248,3.3581557
6.0091357,0.17621127,3.3569329
5.9998522,0.18742363,3.3590577
6.0379086,0.17273267,3.3716762
6.0406408,0.18365644,3.3757484
6.0434899,0.20172176,3.376188
6.0362291,0.21433228,3.3873966
6.0331392,0.21532325,3.365207
6.0837822,0.18281738,3.3762429
6.1268792,0.15276679,3.3741181
6.0954952,0.18021692,3.3850842
6.1172581,0.16472468,3.3740335
6.141685,0.15011419,3.3892663
6.0850258,0.20963162,3.3925941
6.0654826,0.22444856,3.4033215
6.1044011,0.21471359,3.4066918
6.1080256,0.21487871,3.4030557
6.1139851,0.20016319,3.4049923
6.1296897,0.18348619,3.4071894
6.1038232,0.22794007,3.4158621
6.0686712,0.28420097,3.4212728
6.0986457,0.25372079,3.4264836
6.0740228,0.28456831,3.4283862
6.0691924,0.30503115,3.4352672
6.1466146,0.23700126,3.4405346
6.1352153,0.25126183,3.4485781
6.1360621,0.25608838,3.4585431
6.2555718,0.16576602,3.4771078
6.2998972,0.11795786,3.488817
6.3044238,0.1149584,3.4965308
6.3519969,0.095296659,3.501246
6.4020076,0.06379734,3.5060663
6.2839808,0.18272553,3.504683
6.1835718,0.26115856,3.5064642
6.1785283,0.30854204,3.5178854
6.0718675,0.40733185,3.5372641
6.0183105,0.45006004,3.5414298
5.9819884,0.47985345,3.5513484
6.0176044,0.47741404,3.5500176
6.0597868,0.45152482,3.5508478
5.9671993,0.50904977,3.5441542
6.0672321,0.42213297,3.5686564
6.2605929,0.2666254,3.5516505
6.2762432,0.24148878,3.5767486
6.1567931,0.36928162,3.5790932
6.1537528,0.38039863,3.5725539
6.1106744,0.4144946,3.5705473
5.981482,0.5511241,3.5726802
6.0754013,0.458379,3.5827088
6.0310025,0.51678121,3.5955532
6.0654559,0.49099857,3.5972779
5.9867158,0.58036834,3.6043799
5.9073391,0.67330402,3.6080072
5.9043593,0.67490906,3.6126561
5.8457708,0.74144512,3.6283045
5.8264084,0.75271016,3.6140692
5.8405514,0.75862741,3.618083
5.6474891,0.96511376,3.6123412
5.6445293,0.97383392,3.6279581
5.6598735,0.94829649,3.6381752
5.5848565,1.0123888,3.6390588
5.5387635,1.0655913,3.6419752
5.6881762,0.91378886,3.6534319
5.6543322,0.96042377,3.6619346
5.5600553,1.0573107,3.6582015
5.5543871,1.0687872,3.6633132
5.4544735,1.1716353,3.6621435
5.3911171,1.2284466,3.659668
5.3473558,1.2816352,3.6841674